Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,MF,AVAILABILITY,PRICE,PACKAGE,MP,PURCHASE-URL
1,"Unpolarized capacitor, small symbol",C_Small,C4 C6,0.1uF,C_0805_2012Metric,2, ,~,,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C5,1uF,C_0805_2012Metric,3, ,~,,,,,,
3,"Unpolarized capacitor, small symbol",C_Small,C3,10uF,C_0805_2012Metric,1, ,~,,,,,,
4,"Unpolarized capacitor, small symbol",C_Small,C7,0-50pF,C_0805_2012Metric,1, ,~,,,,,,
5,Light emitting diode,LED,D1,LED,LED_0603_1608Metric,1, ,~,,,,,,
6,USB 2.0-only Type-C Receptacle connector,USB4130-GF-C,J1,USB4130-GF-C,USB_C_Receptacle_GCT_USB4130-GF-C,1, ,https://gct.co/files/drawings/usb4130.pdf,,,,,,
7,"Jumper, 2-pole, closed/bridged",Jumper_2_Bridged,JP2,AHLB,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1, ,~,,,,,,
8,"Jumper, 2-pole, open",Jumper_2_Open,JP1,TOG,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1, ,~,,,,,,
9,"Resistor, small symbol",R_Small,R3,470,R_0805_2012Metric,1, ,~,,,,,,
10,"Resistor, small symbol",R_Small,R7 R8,5.1k,R_0805_2012Metric,2, ,~,,,,,,
11,"Resistor, small symbol",R_Small,R1 R2 R4 R5 R6,10K,R_0805_2012Metric,5, ,~,,,,,,
12,"Push button switch, generic, two pins",SW_Push,SW1,EN,SW_SPST_EVPBF,1, ,~,,,,,,
13,"Push button switch, generic, two pins",SW_Push,SW2,IO9,SW_SPST_EVPBF,1, ,~,,,,,,
14,"WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +105 C",ESP32-C3-WROOM-02-N4,U3,ESP32-C3-WROOM-02-N4,MODULE_ESP32-C3-WROOM-02-H4,1, ,,Espressif Systems,In Stock,None,Package,ESP32-C3-WROOM-02-H4,https://pricing.snapeda.com/search/part/ESP32-C3-WROOM-02-H4/?ref=eda
15,"250mA Low Quiscent Current LDO, 3.3V output, SOT-23",MCP1700x-330xxTT,U1,MCP1700x-330xxTT,SOT-23,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf,,,,,,
16,,"TCK108AF,LF",U2,"TCK108AF,LF",SOT-23-5,1, ,https://toshiba.semicon-storage.com/info/TCK108AF_datasheet_en_20151229.pdf?did=53240&prodName=TCK108AF,,,,,,
17,,TTP223,U4,TTP223,SOT-23-6_Handsoldering,1, ,,,,,,,





